CustomerID,Churn Label
1,No
2,No
3,No
4,No
5,No
6,Yes
7,Yes
8,No
9,Yes
10,No
11,No
12,No
13,No
14,No
15,No
16,No
17,No
18,No
19,Yes
20,No
21,No
22,No
23,No
24,No
25,No
26,No
27,No
28,Yes
29,No
30,No
31,No
32,No
33,No
34,No
35,No
36,No
37,No
38,No
39,No
40,No
41,No
42,Yes
43,No
44,No
45,No
46,No
47,No
48,No
49,No
50,No
51,No
52,No
53,No
54,Yes
55,No
56,No
57,No
58,Yes
59,No
60,No
61,No
62,No
63,No
64,No
65,No
66,No
67,No
68,No
69,No
70,No
71,No
72,No
73,Yes
74,No
75,Yes
76,No
77,No
78,No
79,Yes
80,No
81,No
82,No
83,No
84,No
85,Yes
86,Yes
87,No
88,No
89,No
90,No
91,No
92,No
93,Yes
94,No
95,Yes
96,Yes
97,No
98,No
99,No
100,No
101,No
102,No
103,No
104,No
105,No
106,No
107,No
108,No
109,Yes
110,No
111,No
112,Yes
113,No
114,No
115,No
116,No
117,No
118,No
119,Yes
120,No
121,No
122,No
123,No
124,No
125,No
126,Yes
127,Yes
128,No
129,No
130,No
131,No
132,No
133,No
134,No
135,No
136,No
137,No
138,No
139,No
140,No
141,No
142,No
143,No
144,Yes
145,No
146,No
147,No
148,No
149,No
150,No
151,No
152,No
153,Yes
154,No
155,No
156,No
157,No
158,No
159,No
160,No
161,No
162,No
163,Yes
164,No
165,No
166,No
167,No
168,Yes
169,No
170,No
171,No
172,Yes
173,No
174,No
175,No
176,No
177,No
178,No
179,No
180,No
181,No
182,Yes
183,No
184,No
185,No
186,No
187,No
188,No
189,No
190,No
191,No
192,Yes
193,No
194,No
195,No
196,No
197,Yes
198,Yes
199,No
200,No
201,No
202,No
203,No
204,No
205,No
206,No
207,No
208,No
209,No
210,No
211,Yes
212,No
213,No
214,No
215,No
216,No
217,No
218,Yes
219,No
220,No
221,No
222,No
223,No
224,No
225,No
226,No
227,No
228,No
229,No
230,No
231,No
232,No
233,No
234,No
235,No
236,No
237,No
238,No
239,No
240,No
241,No
242,No
243,No
244,No
245,No
246,No
247,No
248,No
249,No
250,Yes
251,No
252,No
253,No
254,No
255,No
256,No
257,No
258,No
259,No
260,No
261,No
262,No
263,No
264,No
265,No
266,No
267,No
268,No
269,No
270,No
271,No
272,No
273,No
274,No
275,No
276,No
277,No
278,Yes
279,No
280,No
281,No
282,Yes
283,No
284,Yes
285,No
286,No
287,No
288,Yes
289,No
290,No
291,No
292,No
293,No
294,No
295,No
296,No
297,Yes
298,No
299,No
300,No
301,No
302,Yes
303,No
304,No
305,No
306,Yes
307,No
308,No
309,No
310,Yes
311,No
312,No
313,Yes
314,No
315,No
316,No
317,No
318,No
319,No
320,No
321,Yes
322,No
323,No
324,No
325,No
326,Yes
327,No
328,No
329,No
330,No
331,No
332,No
333,No
334,No
335,No
336,No
337,No
338,No
339,No
340,Yes
341,No
342,No
343,Yes
344,No
345,No
346,No
347,No
348,Yes
349,No
350,No
351,No
352,No
353,No
354,Yes
355,Yes
356,No
357,No
358,Yes
359,No
360,No
361,No
362,No
363,No
364,No
365,No
366,Yes
367,No
368,No
369,No
370,No
371,Yes
372,No
373,No
374,No
375,Yes
376,Yes
377,No
378,No
379,No
380,No
381,No
382,Yes
383,No
384,No
385,Yes
386,No
387,No
388,No
389,No
390,Yes
391,Yes
392,No
393,No
394,No
395,No
396,No
397,No
398,No
399,No
400,No
401,No
402,No
403,No
404,No
405,No
406,No
407,No
408,Yes
409,Yes
410,No
411,No
412,No
413,Yes
414,No
415,Yes
416,No
417,No
418,No
419,No
420,No
421,No
422,No
423,No
424,No
425,No
426,No
427,No
428,Yes
429,No
430,No
431,No
432,No
433,No
434,No
435,No
436,No
437,No
438,Yes
439,No
440,No
441,No
442,No
443,No
444,No
445,Yes
446,No
447,Yes
448,No
449,No
450,No
451,No
452,Yes
453,No
454,No
455,Yes
456,No
457,No
458,No
459,Yes
460,No
461,No
462,Yes
463,No
464,No
465,No
466,No
467,No
468,No
469,Yes
470,No
471,No
472,No
473,Yes
474,No
475,Yes
476,Yes
477,No
478,No
479,No
480,No
481,No
482,No
483,Yes
484,No
485,No
486,No
487,No
488,No
489,No
490,No
491,No
492,No
493,Yes
494,No
495,No
496,No
497,No
498,Yes
499,No
500,No
501,No
502,No
503,No
504,No
505,Yes
506,No
507,No
508,No
509,Yes
510,No
511,No
512,No
513,No
514,No
515,No
516,No
517,Yes
518,Yes
519,No
520,No
521,No
522,No
523,No
524,No
525,Yes
526,Yes
527,No
528,No
529,No
530,Yes
531,No
532,No
533,No
534,No
535,No
536,No
537,No
538,No
539,No
540,No
541,No
542,No
543,No
544,Yes
545,No
546,No
547,No
548,No
549,No
550,No
551,No
552,No
553,No
554,No
555,No
556,No
557,No
558,No
559,No
560,No
561,No
562,Yes
563,No
564,No
565,No
566,No
567,No
568,No
569,No
570,No
571,No
572,No
573,No
574,Yes
575,No
576,Yes
577,No
578,No
579,No
580,No
581,No
582,No
583,No
584,No
585,No
586,No
587,No
588,No
589,No
590,No
591,No
592,No
593,No
594,No
595,No
596,No
597,No
598,No
599,No
600,No
601,No
602,No
603,No
604,No
605,No
606,Yes
607,Yes
608,No
609,No
610,No
611,No
612,No
613,Yes
614,No
615,No
616,No
617,No
618,No
619,No
620,No
621,No
622,No
623,No
624,No
625,No
626,No
627,No
628,No
629,No
630,No
631,Yes
632,No
633,No
634,Yes
635,No
636,No
637,No
638,Yes
639,No
640,No
641,No
642,No
643,Yes
644,No
645,No
646,No
647,No
648,No
649,No
650,No
651,No
652,No
653,Yes
654,No
655,Yes
656,No
657,No
658,No
659,Yes
660,Yes
661,No
662,No
663,No
664,No
665,No
666,No
667,Yes
668,No
669,No
670,No
671,No
672,No
673,No
674,No
675,No
676,No
677,No
678,No
679,No
680,No
681,No
682,No
683,Yes
684,No
685,No
686,No
687,No
688,Yes
689,No
690,No
691,Yes
692,No
693,No
694,No
695,Yes
696,No
697,No
698,No
699,Yes
700,No
701,No
702,No
703,No
704,No
705,No
706,No
707,No
708,No
709,No
710,No
711,No
712,Yes
713,Yes
714,No
715,No
716,No
717,No
718,No
719,No
720,No
721,No
722,Yes
723,No
724,No
725,No
726,Yes
727,No
728,No
729,No
730,No
731,No
732,No
733,Yes
734,No
735,No
736,No
737,No
738,No
739,No
740,No
741,No
742,No
743,No
744,No
745,No
746,No
747,No
748,No
749,No
750,No
751,No
752,No
753,No
754,No
755,No
756,No
757,No
758,No
759,No
760,No
761,No
762,No
763,No
764,No
765,No
766,No
767,No
768,No
769,No
770,Yes
771,No
772,No
773,No
774,No
775,No
776,No
777,Yes
778,No
779,No
780,No
781,No
782,No
783,Yes
784,No
785,No
786,No
787,No
788,No
789,No
790,No
791,No
792,No
793,No
794,No
795,No
796,Yes
797,No
798,No
799,No
800,No
801,No
802,No
803,No
804,No
805,No
806,No
807,No
808,No
809,No
810,No
811,No
812,Yes
813,No
814,No
815,Yes
816,No
817,No
818,No
819,No
820,No
821,Yes
822,No
823,No
824,No
825,No
826,No
827,No
828,No
829,No
830,No
831,No
832,No
833,No
834,Yes
835,No
836,No
837,No
838,No
839,No
840,No
841,No
842,No
843,No
844,Yes
845,No
846,No
847,No
848,No
849,No
850,No
851,No
852,No
853,Yes
854,No
855,No
856,No
857,No
858,Yes
859,No
860,No
861,No
862,No
863,No
864,No
865,Yes
866,No
867,No
868,No
869,No
870,No
871,No
872,No
873,Yes
874,No
875,Yes
876,No
877,No
878,Yes
879,No
880,No
881,No
882,No
883,No
884,No
885,No
886,No
887,Yes
888,Yes
889,No
890,No
891,No
892,Yes
893,No
894,Yes
895,No
896,No
897,Yes
898,No
899,No
900,No
901,No
902,No
903,No
904,No
905,No
906,No
907,No
908,No
909,No
910,Yes
911,No
912,No
913,Yes
914,No
915,No
916,Yes
917,No
918,No
919,No
920,No
921,No
922,Yes
923,Yes
924,No
925,No
926,No
927,No
928,No
929,No
930,No
931,No
932,No
933,No
934,No
935,No
936,Yes
937,No
938,No
939,No
940,No
941,No
942,No
943,No
944,No
945,Yes
946,No
947,No
948,Yes
949,No
950,Yes
951,No
952,No
953,No
954,Yes
955,No
956,No
957,No
958,Yes
959,No
960,Yes
961,No
962,No
963,No
964,No
965,No
966,No
967,Yes
968,Yes
969,No
970,No
971,No
972,No
973,No
974,No
975,No
976,No
977,No
978,No
979,No
980,No
981,Yes
982,No
983,No
984,No
985,No
986,No
987,No
988,No
989,No
990,No
991,No
992,No
993,Yes
994,No
995,No
996,No
997,Yes
998,No
999,No
1000,Yes
1001,No
1002,No
1003,No
1004,No
1005,No
1006,No
1007,No
1008,No
1009,No
1010,No
1011,No
1012,No
1013,No
1014,No
1015,No
1016,No
1017,No
1018,No
1019,No
1020,No
1021,No
1022,No
1023,No
1024,No
1025,No
1026,No
1027,No
1028,No
1029,Yes
1030,No
1031,No
1032,Yes
1033,No
1034,No
1035,Yes
1036,No
1037,No
1038,No
1039,No
1040,No
1041,No
1042,No
1043,No
1044,No
1045,No
1046,No
1047,No
1048,No
1049,No
1050,No
1051,Yes
1052,No
1053,No
1054,No
1055,No
1056,No
1057,No
